Symbol,Timestamp,Open,High,Low,Close,Volume,TradeCount,VWAP
QQQ,2026-01-08 11:10:00+00:00,622.47,622.52,622.47,622.52,336.0,13.0,622.502328
QQQ,2026-01-08 11:12:00+00:00,622.58,622.7,622.58,622.7,473.0,15.0,622.617241
QQQ,2026-01-08 11:13:00+00:00,622.71,622.71,622.67,622.69,788.0,20.0,622.687667
QQQ,2026-01-08 11:14:00+00:00,622.68,622.68,622.63,622.65,294.0,12.0,622.657301
QQQ,2026-01-08 11:15:00+00:00,622.71,622.71,622.68,622.68,353.0,13.0,622.690519
QQQ,2026-01-08 11:16:00+00:00,622.64,622.68,622.64,622.68,192.0,8.0,622.657143
QQQ,2026-01-08 11:17:00+00:00,622.66,622.67,622.62,622.62,332.0,13.0,622.645106
QQQ,2026-01-08 11:18:00+00:00,622.61,622.61,622.61,622.61,342.0,17.0,622.61
QQQ,2026-01-08 11:20:00+00:00,622.64,622.64,622.62,622.62,2619.0,10.0,622.630012
QQQ,2026-01-08 11:22:00+00:00,622.71,622.71,622.71,622.71,143.0,6.0,622.71
QQQ,2026-01-08 11:23:00+00:00,622.64,622.67,622.64,622.67,536.0,16.0,622.649476
QQQ,2026-01-08 11:24:00+00:00,622.68,622.68,622.68,622.68,814.0,22.0,622.68
QQQ,2026-01-08 11:25:00+00:00,622.78,622.87,622.78,622.87,1234.0,39.0,622.804192
QQQ,2026-01-08 11:26:00+00:00,622.89,622.92,622.89,622.92,631.0,21.0,622.915808
QQQ,2026-01-08 11:27:00+00:00,622.97,622.97,622.93,622.93,471.0,17.0,622.957273
QQQ,2026-01-08 11:29:00+00:00,622.87,622.87,622.81,622.81,3791.0,37.0,622.84401
QQQ,2026-01-08 11:31:00+00:00,622.71,622.81,621.9,622.67,24167.0,572.0,622.421093
QQQ,2026-01-08 11:32:00+00:00,622.67,622.99,622.65,622.82,4966.0,86.0,622.81888
QQQ,2026-01-08 11:33:00+00:00,622.91,622.94,622.91,622.91,433.0,17.0,622.914918
QQQ,2026-01-08 11:34:00+00:00,622.91,622.94,622.9,622.94,627.0,19.0,622.918158
QQQ,2026-01-08 11:35:00+00:00,622.85,622.91,622.84,622.87,1313.0,28.0,622.867793
QQQ,2026-01-08 11:36:00+00:00,622.93,622.93,622.85,622.85,701.0,23.0,622.895185
QQQ,2026-01-08 11:37:00+00:00,622.89,622.89,622.89,622.89,313.0,12.0,622.89
QQQ,2026-01-08 11:38:00+00:00,622.75,622.75,622.64,622.64,2617.0,54.0,622.700762
QQQ,2026-01-08 11:39:00+00:00,622.69,622.69,622.55,622.57,1331.0,36.0,622.613426
QQQ,2026-01-08 11:40:00+00:00,622.83,622.83,622.82,622.82,327.0,22.0,622.82597
QQQ,2026-01-08 11:41:00+00:00,622.87,622.9,622.87,622.9,696.0,13.0,622.893213
QQQ,2026-01-08 11:42:00+00:00,622.9,622.91,622.87,622.88,2002.0,53.0,622.900539
QQQ,2026-01-08 11:43:00+00:00,622.87,622.87,622.81,622.81,1063.0,36.0,622.839016
QQQ,2026-01-08 11:44:00+00:00,622.76,622.77,622.71,622.72,1938.0,57.0,622.741876
QQQ,2026-01-08 11:45:00+00:00,622.7,622.73,622.65,622.65,753.0,25.0,622.679183
QQQ,2026-01-08 11:46:00+00:00,622.64,622.65,622.61,622.65,445.0,14.0,622.635526
QQQ,2026-01-08 11:47:00+00:00,622.69,622.79,622.69,622.79,398.0,11.0,622.747756
QQQ,2026-01-08 11:48:00+00:00,622.8,622.8,622.72,622.72,1317.0,31.0,622.744887
QQQ,2026-01-08 11:49:00+00:00,622.67,622.77,622.66,622.77,1300.0,30.0,622.683147
QQQ,2026-01-08 11:50:00+00:00,622.78,622.79,622.74,622.79,2519.0,61.0,622.769631
QQQ,2026-01-08 11:51:00+00:00,622.8,622.91,622.8,622.91,1220.0,34.0,622.857401
QQQ,2026-01-08 11:52:00+00:00,622.95,622.99,622.86,622.9,3880.0,68.0,622.931501
QQQ,2026-01-08 11:53:00+00:00,622.89,623.0,622.89,622.97,4920.0,52.0,622.981306
QQQ,2026-01-08 11:54:00+00:00,622.96,622.96,622.85,622.85,1399.0,39.0,622.915306
QQQ,2026-01-08 11:56:00+00:00,622.87,622.87,622.87,622.87,469.0,21.0,622.87
QQQ,2026-01-08 11:57:00+00:00,622.77,622.78,622.77,622.78,487.0,16.0,622.771429
QQQ,2026-01-08 11:58:00+00:00,622.75,622.75,622.75,622.75,557.0,17.0,622.75
QQQ,2026-01-08 11:59:00+00:00,622.66,622.66,622.6,622.6,1048.0,30.0,622.632995
QQQ,2026-01-08 12:00:00+00:00,622.65,622.67,622.4,622.4,4443.0,143.0,622.578519
QQQ,2026-01-08 12:01:00+00:00,622.41,622.51,622.4,622.51,494.0,17.0,622.439479
QQQ,2026-01-08 12:02:00+00:00,622.46,622.46,622.36,622.36,1268.0,38.0,622.4065
QQQ,2026-01-08 12:03:00+00:00,622.37,622.37,622.25,622.259,1590.0,38.0,622.297865
QQQ,2026-01-08 12:04:00+00:00,622.23,622.23,622.1,622.19,776.0,33.0,622.160147
QQQ,2026-01-08 12:05:00+00:00,622.19,622.38,622.18,622.38,3267.0,61.0,622.232407
QQQ,2026-01-08 12:06:00+00:00,622.33,622.4,622.25,622.4,3520.0,49.0,622.307685
QQQ,2026-01-08 12:07:00+00:00,622.2,622.21,622.171,622.21,3701.0,37.0,622.199737
QQQ,2026-01-08 12:08:00+00:00,622.17,622.17,622.1,622.11,2420.0,50.0,622.141206
QQQ,2026-01-08 12:09:00+00:00,622.15,622.24,622.15,622.24,2333.0,26.0,622.198917
QQQ,2026-01-08 12:10:00+00:00,622.33,622.36,622.29,622.3,1478.0,35.0,622.322529
QQQ,2026-01-08 12:11:00+00:00,622.34,622.4,622.329,622.38,960.0,25.0,622.359229
QQQ,2026-01-08 12:13:00+00:00,622.4,622.44,622.38,622.389,7279.0,70.0,622.421871
QQQ,2026-01-08 12:14:00+00:00,622.29,622.38,622.28,622.38,691.0,21.0,622.361188
QQQ,2026-01-08 12:15:00+00:00,622.5,622.52,622.49,622.51,3986.0,54.0,622.506045
QQQ,2026-01-08 12:16:00+00:00,622.5,622.51,622.49,622.51,2065.0,23.0,622.502903
QQQ,2026-01-08 12:17:00+00:00,622.5,622.5,622.5,622.5,170.0,13.0,622.5
QQQ,2026-01-08 12:18:00+00:00,622.4,622.42,622.4,622.4,892.0,37.0,622.402025
QQQ,2026-01-08 12:19:00+00:00,622.49,622.49,622.47,622.49,895.0,29.0,622.487241
QQQ,2026-01-08 12:20:00+00:00,622.46,622.46,622.39,622.39,3348.0,52.0,622.44432
QQQ,2026-01-08 12:22:00+00:00,622.53,622.53,622.52,622.52,1208.0,24.0,622.520412
QQQ,2026-01-08 12:23:00+00:00,622.55,622.67,622.55,622.66,1482.0,31.0,622.593984
QQQ,2026-01-08 12:24:00+00:00,622.67,622.68,622.67,622.68,195.0,10.0,622.676721
QQQ,2026-01-08 12:25:00+00:00,622.67,622.7,622.67,622.69,320.0,12.0,622.684747
QQQ,2026-01-08 12:26:00+00:00,622.72,622.72,622.63,622.66,517.0,31.0,622.654828
QQQ,2026-01-08 12:27:00+00:00,622.7,622.78,622.7,622.78,1438.0,18.0,622.726101
QQQ,2026-01-08 12:28:00+00:00,622.79,622.8,622.7,622.72,4323.0,73.0,622.708423
QQQ,2026-01-08 12:29:00+00:00,622.73,622.75,622.73,622.74,2365.0,37.0,622.74799
QQQ,2026-01-08 12:30:00+00:00,622.7,622.7,622.62,622.7,1098.0,31.0,622.648285
QQQ,2026-01-08 12:31:00+00:00,622.63,622.65,622.54,622.54,1003.0,29.0,622.64
QQQ,2026-01-08 12:32:00+00:00,622.47,622.47,622.36,622.43,2185.0,50.0,622.4369
QQQ,2026-01-08 12:33:00+00:00,622.41,622.47,622.41,622.47,3295.0,51.0,622.423999
QQQ,2026-01-08 12:34:00+00:00,622.38,622.44,622.35,622.44,508.0,15.0,622.398081
QQQ,2026-01-08 12:35:00+00:00,622.3,622.3,622.3,622.3,377.0,27.0,622.3
QQQ,2026-01-08 12:36:00+00:00,622.32,622.39,622.32,622.39,421.0,14.0,622.347797
QQQ,2026-01-08 12:37:00+00:00,622.34,622.34,622.34,622.34,394.0,18.0,622.34
QQQ,2026-01-08 12:38:00+00:00,622.3,622.31,622.3,622.31,227.0,10.0,622.307368
QQQ,2026-01-08 12:39:00+00:00,622.3,622.33,622.29,622.29,1038.0,25.0,622.306274
QQQ,2026-01-08 12:40:00+00:00,622.29,622.33,622.27,622.31,1094.0,28.0,622.306991
QQQ,2026-01-08 12:41:00+00:00,622.39,622.49,622.39,622.44,4450.0,67.0,622.461782
QQQ,2026-01-08 12:42:00+00:00,622.35,622.35,622.35,622.35,532.0,18.0,622.35
QQQ,2026-01-08 12:43:00+00:00,622.3,622.3,622.3,622.3,346.0,21.0,622.3
QQQ,2026-01-08 12:44:00+00:00,622.36,622.41,622.34,622.34,686.0,35.0,622.376087
QQQ,2026-01-08 12:45:00+00:00,622.31,622.31,622.31,622.31,254.0,13.0,622.31
QQQ,2026-01-08 12:46:00+00:00,622.3,622.36,622.3,622.36,438.0,9.0,622.306916
QQQ,2026-01-08 12:47:00+00:00,622.41,622.51,622.38,622.5,1266.0,34.0,622.464942
QQQ,2026-01-08 12:48:00+00:00,622.51,622.51,622.46,622.46,1921.0,21.0,622.498627
QQQ,2026-01-08 12:49:00+00:00,622.5,622.56,622.5,622.55,639.0,15.0,622.538057
QQQ,2026-01-08 12:50:00+00:00,622.57,622.61,622.57,622.61,320.0,22.0,622.593333
QQQ,2026-01-08 12:51:00+00:00,622.64,622.7,622.601,622.7,1112.0,26.0,622.662603
QQQ,2026-01-08 12:52:00+00:00,622.75,622.76,622.72,622.73,2243.0,27.0,622.749742
QQQ,2026-01-08 12:53:00+00:00,622.72,622.74,622.72,622.74,377.0,27.0,622.735294
QQQ,2026-01-08 12:54:00+00:00,622.77,622.77,622.71,622.71,3396.0,86.0,622.765441
QQQ,2026-01-08 12:55:00+00:00,622.71,622.78,622.71,622.78,263.0,15.0,622.746667
QQQ,2026-01-08 12:56:00+00:00,622.79,622.79,622.72,622.75,2914.0,49.0,622.754356
QQQ,2026-01-08 12:57:00+00:00,622.75,622.78,622.75,622.77,663.0,30.0,622.759562
QQQ,2026-01-08 12:58:00+00:00,622.69,622.7,622.56,622.57,5416.0,79.0,622.621461
QQQ,2026-01-08 12:59:00+00:00,622.55,622.57,622.55,622.57,455.0,15.0,622.553333
QQQ,2026-01-08 13:00:00+00:00,622.23,623.31,620.29,622.49,118896.0,3452.0,622.230814
QQQ,2026-01-08 13:01:00+00:00,623.29,623.552,620.31,622.49,9380.0,629.0,621.805522
QQQ,2026-01-08 13:02:00+00:00,622.52,622.94,620.31,622.145,3798.0,167.0,622.104777
QQQ,2026-01-08 13:03:00+00:00,622.4,622.47,622.4,622.47,512.0,59.0,622.425143
QQQ,2026-01-08 13:04:00+00:00,622.48,622.5,622.48,622.4999,961.0,34.0,622.498878
QQQ,2026-01-08 13:05:00+00:00,622.49,622.51,622.47,622.48,829.0,56.0,622.489655
QQQ,2026-01-08 13:06:00+00:00,622.44,622.59,622.44,622.59,1337.0,60.0,622.54305
QQQ,2026-01-08 13:07:00+00:00,622.6,622.6,622.5812,622.5812,264.0,30.0,622.585758
QQQ,2026-01-08 13:08:00+00:00,622.66,622.72,622.63,622.65,2985.0,69.0,622.667802
QQQ,2026-01-08 13:09:00+00:00,622.6401,622.68,622.59,622.64,1377.0,54.0,622.648576
QQQ,2026-01-08 13:10:00+00:00,622.6,622.74,622.58,622.66,4403.0,93.0,622.655855
QQQ,2026-01-08 13:11:00+00:00,622.7,622.85,622.7,622.85,4149.0,80.0,622.768581
QQQ,2026-01-08 13:12:00+00:00,622.9,623.0,622.88,622.94,10512.0,177.0,622.944302
QQQ,2026-01-08 13:13:00+00:00,622.9499,622.95,622.8901,622.95,1609.0,56.0,622.928613
QQQ,2026-01-08 13:14:00+00:00,622.94,622.95,622.8723,622.93,5462.0,42.0,622.931592
QQQ,2026-01-08 13:15:00+00:00,622.94,622.97,622.85,622.85,8056.0,87.0,622.907642
QQQ,2026-01-08 13:16:00+00:00,622.79,622.81,622.7,622.72,2192.0,56.0,622.729765
QQQ,2026-01-08 13:17:00+00:00,622.7399,623.09,622.7204,623.09,12651.0,158.0,622.969243
QQQ,2026-01-08 13:18:00+00:00,623.089,623.32,623.07,623.32,6283.0,148.0,623.168054
QQQ,2026-01-08 13:19:00+00:00,623.3487,623.3487,623.25,623.25,1757.0,52.0,623.293441
QQQ,2026-01-08 13:20:00+00:00,623.25,623.57,623.25,623.549,18231.0,212.0,623.475556
